Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Bag/Case material (product.metafields.shopify.bag-case-material),Bedding size (product.metafields.shopify.bedding-size),Care instructions (product.metafields.shopify.care-instructions),Case transparency level (product.metafields.shopify.case-transparency-level),Case type (product.metafields.shopify.case-type),Cleaning instructions (product.metafields.shopify.cleaning-instructions),Color (product.metafields.shopify.color-pattern),Drinkware insulation (product.metafields.shopify.drinkware-insulation),Drinkware material (product.metafields.shopify.drinkware-material),Drinkware shape (product.metafields.shopify.drinkware-shape),Fabric (product.metafields.shopify.fabric),Frame style (product.metafields.shopify.frame-style),Handle type (product.metafields.shopify.handle-type),Ingress protection (IP) rating (product.metafields.shopify.ingress-protection-ip-rating),Jewelry material (product.metafields.shopify.jewelry-material),MagSafe compatibility (product.metafields.shopify.magsafe-compatibility),Material (product.metafields.shopify.material),Microwave compatibility (product.metafields.shopify.microwave-compatibility),Mobile phone case features (product.metafields.shopify.mobile-phone-case-features),Neckline (product.metafields.shopify.neckline),Printing method (product.metafields.shopify.printing-method),Shape (product.metafields.shopify.shape),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Warmth rating (product.metafields.shopify.warmth-rating),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,Samsung Galaxy S26 Plus,,,Glossy,,,Without gift packaging,,'12805724869775127037,99.7903214,shopify,deny,manual,22.82,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/755712840556215170_2048.jpg?v=1783468233,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/1920200783895558009_2048.jpg?v=1783468346,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,Samsung Galaxy S26 Ultra,,,Glossy,,,Without gift packaging,,'29368603072663259856,99.7903214,shopify,deny,manual,22.82,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/8272988787022595481_2048.jpg?v=1783468234,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/4519095838634773767_2048.jpg?v=1783468347,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 16e,,,Glossy,,,Without gift packaging,,'32680100380641209826,99.7903214,shopify,deny,manual,22.82,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/10843501044181486908_2048.jpg?v=1783468236,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/8741446571753369742_2048.jpg?v=1783468340,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 16e,,,Matte,,,Without gift packaging,,'10893783425072669400,99.7903214,shopify,deny,manual,22.82,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/14616342109122359820_2048.jpg?v=1783468238,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/16310286872406107685_2048.jpg?v=1783468342,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 17 Air,,,Glossy,,,Without gift packaging,,'52660915176697039449,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/5050623837984350413_2048.jpg?v=1783468240,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/9042642379689739068_2048.jpg?v=1783468310,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 17 Air,,,Matte,,,Without gift packaging,,'39001321790392130640,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/6813062204588637833_2048.jpg?v=1783468241,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/6344313248036778591_2048.jpg?v=1783468313,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 17,,,Glossy,,,Without gift packaging,,'18408002519509237692,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/569900344552577065_2048.jpg?v=1783468242,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/8446169080340626477_2048.jpg?v=1783468306,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 17,,,Matte,,,Without gift packaging,,'18927262649602487152,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/572384831338697241_2048.jpg?v=1783468244,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/3698959256490640504_2048.jpg?v=1783468308,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 17 Pro,,,Glossy,,,Without gift packaging,,'20135694433214825570,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/16435783882355336318_2048.jpg?v=1783468245,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/4586487476430009523_2048.jpg?v=1783468314,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 17 Pro,,,Matte,,,Without gift packaging,,'16432914132759283138,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/6965076638969436936_2048.jpg?v=1783468247,11,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/17084250877607969089_2048.jpg?v=1783468316,lb,,13.69,,,,
